,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-Barbuda,0,0,0,1,14,14,38,136,110,112,17,0,0,0,0,0,2,0,1,,,,,
Argentina,0,1,1,7,17,0,0,0,0,0,0,0,68,126,457,174,0,,,,,,,
Aruba,18,11,1,4,1,7,0,1,0,0,1,3,97,281,196,71,25,1,,,,,,
Bahamas,18,24,0,20,22,17,49,119,57,36,14,8,12,0,22,23,7,9,8,,,,,
Barbados,283,167,82,31,31,14,15,53,57,76,18,6,10,8,7,3,1,0,0,0,,,,
Belize,5,6,3,13,47,73,99,214,179,131,37,91,168,187,113,38,0,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,7,8,23,57,37,19,6,18,9,24,72,63,383,582,388,0,0,,,,,,,
"Bonaire, Saint Eustatius and Saba",,,,,,,,,,,,,,,,,,,,,,,,
Brazil,46128,72630,53830,33292,18302,5549,2650,1180,696,1212,1045,720,4390,3880,4008,3881,1146,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,9,10,5,5,5,19,31,70,61,19,7,6,5,4,4,5,1,1,1,0,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,22977,18306,12602,12451,12074,5754,3311,1215,835,819,407,304,342,266,228,209,118,126,107,,,,,
Costa Rica,0,8,0,18,85,95,502,1290,1688,1450,836,508,398,169,130,131,34,,,,,,,
Cuba,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Curacao,133,427,203,203,214,170,180,325,425,1435,1808,632,267,83,54,35,26,,,,,,,
Dominica,0,0,24,191,315,359,251,65,17,8,0,0,0,0,0,0,0,0,0,,,,,
Dominican Rep,357,421,677,1216,1442,811,225,41,34,29,14,13,4,6,5,0,0,8,2,,,,,
Ecuador,21,8,3,11,328,561,528,165,85,8,63,57,112,161,429,765,490,,,,,,,
El Salvador,4758,1064,289,217,253,254,200,133,105,84,52,40,68,48,36,40,40,,,,,,,
French Guiana,607,419,1743,1720,2180,1233,629,232,168,200,99,56,116,72,39,47,40,,,,,,,
Grenada,0,0,0,0,8,106,171,103,39,9,3,4,1,4,3,0,0,,,,,,,
Guadeloupe,125,524,439,1899,7204,9873,7267,2130,1122,262,103,49,16,5,5,0,6,0,0,,,,,
Guatemala,526,595,182,200,360,334,262,343,266,242,70,56,94,69,34,29,7,,,,,,,
Guyana,3,10,5,2,7,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haiti,789,852,403,351,175,346,172,15,,,,,,,,,,,,,,,,
Honduras,9499,6177,1642,1779,3359,3567,3619,1403,596,251,117,66,67,59,16,0,0,,,,,,,
Jamaica,304,378,305,351,1276,1883,1327,581,226,165,68,31,60,41,35,46,44,29,15,,,,,
Martinique,4952,5697,5631,6179,6246,3457,2367,1041,634,208,43,34,37,4,6,5,10,12,0,,,,,
Mexico,107,103,41,85,256,543,1041,1370,1871,1718,706,130,78,34,32,21,0,,,,,,,
Nicaragua,123,163,78,98,220,575,2836,2954,1353,905,319,100,125,81,64,95,30,,,,,,,
Panama,135,203,256,238,463,210,162,247,325,461,506,653,759,251,136,89,0,,,,,,,
Paraguay,163,136,165,31,5,4,9,15,12,7,13,34,32,20,18,25,0,,,,,,,
Peru,0,1,2,5,54,24,9,7,55,379,658,495,766,202,665,3187,961,,,,,,,
Puerto Rico,248,344,335,489,1982,4547,7921,9264,6948,5292,2148,1196,614,329,349,301,200,135,151,117,,,,
St Barthelemy,8,0,2,0,38,133,253,191,143,121,61,37,12,2,1,0,0,0,,,,,,
St Kitts-Nevis,0,0,0,0,0,1,2,54,257,244,20,5,0,0,1,3,0,,,,,,,
St Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
St Maarten (Dutch Part),30,94,49,95,471,597,678,301,409,418,230,177,59,43,23,5,6,,,,,,,
St Vincent-Grenad,15,28,6,9,57,62,180,174,49,5,,,,,,,,,,,,,,
Suriname,1627,852,295,77,32,33,39,17,24,10,4,3,7,2,2,0,0,,,,,,,
Trinidad-Tobago,1,3,12,10,59,77,296,186,55,9,3,0,1,0,0,0,0,0,0,0,,,,
Turks-Caicos,3,5,7,2,2,6,27,31,31,55,24,4,8,11,5,2,2,0,0,0,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,9703,17252,8673,5398,6522,5519,3955,1391,700,415,167,107,250,92,47,61,0,,,,,,,
Virgin Islands (GB),0,0,0,0,0,1,7,67,0,43,9,0,0,0,0,0,0,,,,,,,
Virgin Islands (US),50,80,59,42,81,90,247,318,337,383,195,107,61,32,35,31,16,18,6,0,,,,
