,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
Anguilla,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
Antigua-Barbuda,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963,100963
Argentina,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430,43847430
Aruba,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822,104822
Bahamas,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232,391232
Barbados,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996,284996
Belize,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954,366954
Bermuda,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331,65331
Bolivia,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882,10887882
"Bonaire, Saint Eustatius and Saba",25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
Brazil,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865,207652865
Canada,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425,36286425
