NAME_ENGLI,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Afghanistan,0.00170126328373,0.002185729873792,0.00259998184543,0.003387821669862,0.008168035699259,0.010509009227539,0.012418097353547,0.014940887796807,0.010707159728186,0.008168560543149,0.002619786311673,0.001597152527824,0.00170126328373,0.002185729873792,0.00259998184543,0.003387821669862,0.008168035699259,0.010509009227539,0.012418097353547,0.014940887796807,0.010707159728186,0.008168560543149,0.002619786311673,0.001597152527824
Akrotiri and Dhekelia,0.013338042075792,0.006878967166901,0.00410079009703,0.003927097455981,0.063887236159931,0.079367768367267,0.124182498490815,0.120886420042941,0.120566707070438,0.083527629065206,0.066442096406338,0.035994994736954,0.013338042075792,0.006878967166901,0.00410079009703,0.003927097455981,0.063887236159931,0.079367768367267,0.124182498490815,0.120886420042941,0.120566707070438,0.083527629065206,0.066442096406338,0.035994994736954
Åland,0.000403673681792,0.000383731442566,0.000378764294122,0.000410837385329,0.000314405328845,0.000382744033789,0.000337205629732,0.001007176233552,0.001027413529604,0.000613696544072,0.000938167643282,0.00041232930496,0.000403673681792,0.000383731442566,0.000378764294122,0.000410837385329,0.000314405328845,0.000382744033789,0.000337205629732,0.001007176233552,0.001027413529604,0.000613696544072,0.000938167643282,0.00041232930496
Albania,0.001846486771382,0.001938374018217,0.002154271804812,0.00215881315984,0.001738034204725,0.005021681678435,0.005901900309506,0.008036506811534,0.016231085967665,0.014469677111472,0.001941970444726,0.001807155510882,0.001846486771382,0.001938374018217,0.002154271804812,0.00215881315984,0.001738034204725,0.005021681678435,0.005901900309506,0.008036506811534,0.016231085967665,0.014469677111472,0.001941970444726,0.001807155510882
Algeria,0.00100726217336,0.00088913949281,0.00070803300022,0.001158385088777,0.001928622773795,0.004106390086404,0.005120213277087,0.006229752001083,0.006929202191968,0.005720259795104,0.002383644916784,0.001186809195089,0.00100726217336,0.00088913949281,0.00070803300022,0.001158385088777,0.001928622773795,0.004106390086404,0.005120213277087,0.006229752001083,0.006929202191968,0.005720259795104,0.002383644916784,0.001186809195089
American Samoa,0.035928657316068,0.036725822049452,0.033661322639931,0.031710464950714,0.030293195396603,0.027391093091198,0.026104291308762,0.027624297756034,0.029939495977877,0.035225164606737,0.032672268184504,0.035336493586418,0.035928657316068,0.036725822049452,0.033661322639931,0.031710464950714,0.030293195396603,0.027391093091198,0.026104291308762,0.027624297756034,0.029939495977877,0.035225164606737,0.032672268184504,0.035336493586418
Andorra,0.001851531125797,0.001907756180913,0.002017350088709,0.001975477550762,0.001865117587972,0.001767415289269,0.001956289978468,0.001750747009404,0.001987760553068,0.00192560705308,0.001840336665017,0.001849960532401,0.001851531125797,0.001907756180913,0.002017350088709,0.001975477550762,0.001865117587972,0.001767415289269,0.001956289978468,0.001750747009404,0.001987760553068,0.00192560705308,0.001840336665017,0.001849960532401
Angola,0.100066247068762,0.098966920701085,0.112391033453176,0.070858162517444,0.012916177485546,0.008613578141874,0.007762372650548,0.01070456346171,0.013399850664999,0.043087171353111,0.092160287291319,0.098359345806993,0.100066247068762,0.098966920701085,0.112391033453176,0.070858162517444,0.012916177485546,0.008613578141874,0.007762372650548,0.01070456346171,0.013399850664999,0.043087171353111,0.092160287291319,0.098359345806993
Anguilla,0.038871196594804,0.031311148498749,0.029481295629834,0.050928414958942,0.125822179266483,0.027492258581373,0.08227962996864,0.117892675331823,0.118101900059418,0.077015843221038,0.103265268508519,0.116877760615993,0.038871196594804,0.031311148498749,0.029481295629834,0.050928414958942,0.125822179266483,0.027492258581373,0.08227962996864,0.117892675331823,0.118101900059418,0.077015843221038,0.103265268508519,0.116877760615993
Antigua-Barbuda,0.044390320396604,0.018485572159222,0.01757246830437,0.024094546965163,0.068065419381509,0.047395104527551,0.054158162705245,0.05093274779791,0.059737889921722,0.060823462126179,0.071222288117925,0.067035669609167,0.044390320396604,0.018485572159222,0.01757246830437,0.024094546965163,0.068065419381509,0.047395104527551,0.054158162705245,0.05093274779791,0.059737889921722,0.060823462126179,0.071222288117925,0.067035669609167
Argentina,0.03808742004915,0.039581682566707,0.038055044780585,0.016554502475128,0.005029086672194,0.001912144573223,0.001094468851431,0.001609204228392,0.003407627789935,0.010891198343685,0.02520674143677,0.031780303767184,0.03808742004915,0.039581682566707,0.038055044780585,0.016554502475128,0.005029086672194,0.001912144573223,0.001094468851431,0.001609204228392,0.003407627789935,0.010891198343685,0.02520674143677,0.031780303767184
Armenia,0.000679821122019,0.000689938744408,0.000699894359375,0.001219873660294,0.001887495195002,0.00410191640184,0.003107856174231,0.004030496945422,0.003118179582746,0.001305057953885,0.000680025953758,0.000652781215718,0.000679821122019,0.000689938744408,0.000699894359375,0.001219873660294,0.001887495195002,0.00410191640184,0.003107856174231,0.004030496945422,0.003118179582746,0.001305057953885,0.000680025953758,0.000652781215718
Aruba,0.05763911121569,0.06144536204705,0.060642558598422,0.042420679591163,0.051640055823762,0.043471601697416,0.047545942714411,0.044189039003991,0.062052559766767,0.151181488478514,0.166928934243359,0.138165518409265,0.05763911121569,0.06144536204705,0.060642558598422,0.042420679591163,0.051640055823762,0.043471601697416,0.047545942714411,0.044189039003991,0.062052559766767,0.151181488478514,0.166928934243359,0.138165518409265
Australia,0.066855925289757,0.074019441691867,0.047994944824931,0.019426211649662,0.011958849428186,0.006146625387851,0.003715155246238,0.003632842904678,0.00466701632942,0.008189412616095,0.017981786170611,0.039157085015428,0.066855925289757,0.074019441691867,0.047994944824931,0.019426211649662,0.011958849428186,0.006146625387851,0.003715155246238,0.003632842904678,0.00466701632942,0.008189412616095,0.017981786170611,0.039157085015428
Austria,0.001115026179947,0.001068794001872,0.001338550763724,0.001498121160359,0.001638840264549,0.001511809253267,0.001546572551842,0.001553561924159,0.001591949744287,0.001445303063756,0.001648507393964,0.001397698777094,0.001115026179947,0.001068794001872,0.001338550763724,0.001498121160359,0.001638840264549,0.001511809253267,0.001546572551842,0.001553561924159,0.001591949744287,0.001445303063756,0.001648507393964,0.001397698777094
Azerbaijan,0.000798328726928,0.000838414524625,0.000865595255499,0.000966378184219,0.003463240544491,0.011303852239144,0.016718138083104,0.017451051777899,0.015517462860345,0.011262843787316,0.000925120698083,0.000868092222261,0.000798328726928,0.000838414524625,0.000865595255499,0.000966378184219,0.003463240544491,0.011303852239144,0.016718138083104,0.017451051777899,0.015517462860345,0.011262843787316,0.000925120698083,0.000868092222261
Bahamas,0.01134053734053,0.012107774944914,0.013511290779496,0.01750081849861,0.104357960491376,0.098846162547728,0.050908588863846,0.079449808924354,0.07226176437043,0.120468951619901,0.115383843814985,0.017933614565116,0.01134053734053,0.012107774944914,0.013511290779496,0.01750081849861,0.104357960491376,0.098846162547728,0.050908588863846,0.079449808924354,0.07226176437043,0.120468951619901,0.115383843814985,0.017933614565116
