"NAME_ENGLI","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Afghanistan",0.001807739135006,0.003128976552098,0.003799531609203,0.00453876325868,0.01523421605647,0.014709695600665,0.022783499128576,0.025422764206327,0.015856804090786,0.014979625055768,0.00375704865151,0.001656584196643,0.001807739135006,0.003128976552098,0.003799531609203,0.00453876325868,0.01523421605647,0.014709695600665,0.022783499128576,0.025422764206327,0.015856804090786,0.014979625055768,0.00375704865151,0.001656584196643
"Akrotiri and Dhekelia",0.004851857195733,0.003934140475634,0.00121982869959,0.001245120453063,0.008050352880678,0.020363816245767,0.024978861321178,0.02877794319931,0.029818419748123,0.021914805202084,0.010476452183452,0.01431415214947,0.004851857195733,0.003934140475634,0.00121982869959,0.001245120453063,0.008050352880678,0.020363816245767,0.024978861321178,0.02877794319931,0.029818419748123,0.021914805202084,0.010476452183452,0.01431415214947
"Åland",0.000119417163066,0.000108919583542,0.000108679652251,0.00011827429375,9.3140733008E-05,0.000124219297105,0.000103470960054,0.000317333427502,0.000308584487827,0.000189068696778,0.000341828655267,0.0001146275672,0.000119417163066,0.000108919583542,0.000108679652251,0.00011827429375,9.3140733008E-05,0.000124219297105,0.000103470960054,0.000317333427502,0.000308584487827,0.000189068696778,0.000341828655267,0.0001146275672
"Albania",0.001352161427338,0.001458943127633,0.001749252704357,0.001810822592411,0.001491656020663,0.00732542228787,0.007126134312714,0.010856134881329,0.022493857206388,0.026155449194674,0.001506487013403,0.001350702104768,0.001352161427338,0.001458943127633,0.001749252704357,0.001810822592411,0.001491656020663,0.00732542228787,0.007126134312714,0.010856134881329,0.022493857206388,0.026155449194674,0.001506487013403,0.001350702104768
"Algeria",0.002802143704879,0.002436572227365,0.001643344783323,0.002418171144568,0.00398125882598,0.010206223174929,0.016549983582254,0.01979033403033,0.02124386173308,0.021247403605512,0.008885982256109,0.002817309800255,0.002802143704879,0.002436572227365,0.001643344783323,0.002418171144568,0.00398125882598,0.010206223174929,0.016549983582254,0.01979033403033,0.02124386173308,0.021247403605512,0.008885982256109,0.002817309800255
"American Samoa",0.030300258637763,0.031119662108086,0.028082514667715,0.026288464137473,0.025540291729612,0.023557339089313,0.021647120654554,0.023293202668735,0.025404477533411,0.029442901540812,0.027135565755514,0.029721448366013,0.030300258637763,0.031119662108086,0.028082514667715,0.026288464137473,0.025540291729612,0.023557339089313,0.021647120654554,0.023293202668735,0.025404477533411,0.029442901540812,0.027135565755514,0.029721448366013
"Andorra",0.0006587427657,0.000692721101059,0.000673220746292,0.000426057257583,0.0005061227464,0.00055135413212,0.000744549816217,0.000460617618227,0.000468365420971,0.000612131078299,0.000407866610824,0.000413453934979,0.0006587427657,0.000692721101059,0.000673220746292,0.000426057257583,0.0005061227464,0.00055135413212,0.000744549816217,0.000460617618227,0.000468365420971,0.000612131078299,0.000407866610824,0.000413453934979
"Angola",0.048468264631419,0.045366553627245,0.043910352157081,0.048328299497555,0.01391048077679,0.005632272801083,0.004531839811102,0.005653126286735,0.016906219795361,0.039001280863575,0.04568887230408,0.043378985473576,0.048468264631419,0.045366553627245,0.043910352157081,0.048328299497555,0.01391048077679,0.005632272801083,0.004531839811102,0.005653126286735,0.016906219795361,0.039001280863575,0.04568887230408,0.043378985473576
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0.010863845283403,0.008916322686428,0.008670998540275,0.008991995254005,0.02481818464621,0.01805100103137,0.011264935492798,0.009109936557963,0.013490803309508,0.016337749875056,0.022877742847752,0.021932975076774,0.010863845283403,0.008916322686428,0.008670998540275,0.008991995254005,0.02481818464621,0.01805100103137,0.011264935492798,0.009109936557963,0.013490803309508,0.016337749875056,0.022877742847752,0.021932975076774
"Argentina",0.050812152152297,0.052630949716479,0.054372563562615,0.026982531197847,0.009930388586018,0.004153559925651,0.001576760555975,0.002809355904729,0.007371633964268,0.019880775848895,0.039565546448364,0.044909542125825,0.050812152152297,0.052630949716479,0.054372563562615,0.026982531197847,0.009930388586018,0.004153559925651,0.001576760555975,0.002809355904729,0.007371633964268,0.019880775848895,0.039565546448364,0.044909542125825
"Armenia",0.000470951155512,0.000479505063629,0.000472501935693,0.000951953644804,0.001089368052275,0.007096751395149,0.006584642384084,0.00996055138897,0.007606200062622,0.00317547761641,0.000446506767165,0.000455231547926,0.000470951155512,0.000479505063629,0.000472501935693,0.000951953644804,0.001089368052275,0.007096751395149,0.006584642384084,0.00996055138897,0.007606200062622,0.00317547761641,0.000446506767165,0.000455231547926
"Aruba",0.017481143282758,0.009380247193915,0.017004201800988,0.01232065008626,0.014951721870242,0.013062885597962,0.019825325998721,0.020274525807026,0.012355929221596,0.056579098530001,0.048283951254124,0.035964888618547,0.017481143282758,0.009380247193915,0.017004201800988,0.01232065008626,0.014951721870242,0.013062885597962,0.019825325998721,0.020274525807026,0.012355929221596,0.056579098530001,0.048283951254124,0.035964888618547
"Australia",0.077581880097761,0.082253420922453,0.056013821888903,0.01860363708986,0.012467724618223,0.00757548011759,0.005278786853737,0.005028967127842,0.004648310509496,0.007253254114864,0.026547510927127,0.055172342788701,0.077581880097761,0.082253420922453,0.056013821888903,0.01860363708986,0.012467724618223,0.00757548011759,0.005278786853737,0.005028967127842,0.004648310509496,0.007253254114864,0.026547510927127,0.055172342788701
"Austria",0.000688503090758,0.000670801652419,0.000771296866788,0.000839067226466,0.000705431107584,0.000564437477536,0.000613143511179,0.000657261398437,0.000934680583972,0.000854932419995,0.000926745601141,0.000791127988619,0.000688503090758,0.000670801652419,0.000771296866788,0.000839067226466,0.000705431107584,0.000564437477536,0.000613143511179,0.000657261398437,0.000934680583972,0.000854932419995,0.000926745601141,0.000791127988619
"Azerbaijan",0.000702565700692,0.000758364605177,0.00076803540357,0.001062668495798,0.005898610188292,0.01176985829836,0.018123781304287,0.018056653535834,0.023791092046237,0.015498556071596,0.000896703940508,0.00082592727824,0.000702565700692,0.000758364605177,0.00076803540357,0.001062668495798,0.005898610188292,0.01176985829836,0.018123781304287,0.018056653535834,0.023791092046237,0.015498556071596,0.000896703940508,0.00082592727824
"Bahamas",0.005610012608769,0.009500772249333,0.011030674299085,0.010940524737473,0.027747016415324,0.043159450756065,0.031222043559412,0.035970732790435,0.027325460259941,0.034173989240408,0.034542322529938,0.014679621350252,0.005610012608769,0.009500772249333,0.011030674299085,0.010940524737473,0.027747016415324,0.043159450756065,0.031222043559412,0.035970732790435,0.027325460259941,0.034173989240408,0.034542322529938,0.014679621350252
"Bahrain",0.001067574781159,0.001262814292231,0.003643293301714,0.011112954314163,0.010127537000986,0.025204299873354,0.032260805367041,0.034833550113048,0.0297151138894,0.022356406073772,0.011614290617023,0.009070969983797,0.001067574781159,0.001262814292231,0.003643293301714,0.011112954314163,0.010127537000986,0.025204299873354,0.032260805367041,0.034833550113048,0.0297151138894,0.022356406073772,0.011614290617023,0.009070969983797
"Bangladesh",0.001233261067896,0.001630020628182,0.011802245244803,0.026945958224642,0.032202111464555,0.028123730311895,0.02709584719696,0.027506766522415,0.030163247782196,0.019101333146988,0.008266387814648,0.002136131322847,0.001233261067896,0.001630020628182,0.011802245244803,0.026945958224642,0.032202111464555,0.028123730311895,0.02709584719696,0.027506766522415,0.030163247782196,0.019101333146988,0.008266387814648,0.002136131322847
