Country/State,"Physicians/10,000 people","Hospital Beds/10,000 people",GDP PPP,Population Density
Anguilla,12,21,21493,164
Antigua-Barbuda,1.7,21,22967,208.68
Argentina,38.6,47,20364,15.86
Aruba,11.2,27,36015,577.16
Bahamas,28.2,29,23795,38.76
Barbados,18.1,62,16390,660.97
Belize,8.3,11,8526,15.75
Bermuda,17.7,63,52463,1304.7
Bolivia,4.7,11,6880,9.9
"Bonaire, Saint Eustatius and Saba",9.93,32,21000,55.9
Brazil,18.9,23,15359,24.87
Virgin Islands (GB),16.04,18,42300,200.78
Canada,20.7,27,44310,3.94
Cayman Islands,9.34,26,49902,249.86
Chile,10.2,21,22316,24.14
Colombia,14.7,15,13800,43.47
Costa Rica,11.1,12,15377,94.16
Cuba,67.2,53,20645,109.49
Curacao,14.2,39,22619,355.81
Dominica,15.9,38,11277,96.91
Dominican Rep,14.9,17,14211,217.93
Ecuador,17.2,16,11388,65
El Salvador,16,11,8602,295.68
FalklandIslands,20.46,98,55400,0.26
French Guiana,24,21,17812,3.4
Grenada,6.6,35,12966,314.19
Guadeloupe,58.2,35,23072,248
Guatemala,9.3,6,7706,152.51
Guyana,2.1,20,7506,3.9
Haiti,2.5,13,1762,388.65
Honduras,3.7,7,5084,72.17
Jamaica,4.1,19,9062,257.93
Martinique,53.7,31,24329,354
Mexico,21,15,17276,65.34
Montserrat,15,40,12384,51.5
Nicaragua,9,9,5189,50.54
Panama,16.5,22,22192,52.85
Paraguay,12.3,13,9184,16.71
Peru,11.3,15,12402,24.51
Puerto Rico,17.5,33,33843,391.68
St Barthelemy,10,21,27727,361
St Kitts-Nevis,11.7,23,24369,213.73
St Lucia,1.1,16,10990,303.28
St Maarten (Dutch Part),11.4,21,19300,583.71
St Vincent-Grenad,5.3,52,11028,280.67
SintMaarten,11,23,36327,1141.88
Suriname,9.1,31,16969,3.48
Trinidad-Tobago,11.8,27,32596,265.12
Turks-Caicos,11,14,22412,36.15
Uruguay,37.4,25,21200,19.61
USAlabama,21.2,31,37597,37
USAlaska,23.7,21,66835,1
USArizona,24,20,38244,23
USArkansas,20.6,32,37644,22
USCalifornia,26.2,18,56365,97
USColorado,27.4,20,52920,20
USConnecticut,35.8,22,64115,286
USDelaware,25.8,22,63463,187
USDistrictofColumbia,66.1,56,160563,10588
USFlorida,25.7,27,38950,146
USGeorgia,22,25,43301,68
USHawaii,29,20,49479,86
USIdaho,18.6,21,35305,7
USIllinois,28.5,25,53640,89
USIndiana,22.2,26,45136,71
USIowa,21.6,32,49500,21
USKansas,24.1,35,45558,14
USKentucky,23.6,32,39181,43
USLouisiana,26.3,34,45606,41
USMaine,31.7,26,37958,43
USMaryland,36.5,21,54388,238
USMassachusetts,43,25,62918,336
USMichigan,29.4,25,42401,67
USMinnesota,29.5,27,54431,69
USMississippi,18.7,43,31894,64
USMissouri,26.9,31,42984,88
USMontana,22.3,37,39792,2
USNebraska,24.8,36,52996,25
USNevada,19.3,20,43632,26
USNewHampshire,30.4,21,49225,57
USNewJersey,31.5,24,56721,467
USNewMexico,23.6,18,41166,6
USNewYork,36.8,29,63929,162
USNorthCarolina,24.9,23,44054,98
USNorthDakota,24.4,40,66507,11
USOhio,29.5,29,46867,110
USOklahoma,21,30,43788,22
USOregon,29,17,49482,16
USPennsylvania,32.5,31,48944,110
USRhodeIsland,37.8,21,48329,394
USSouthCarolina,23.1,27,36174,62
USSouthDakota,23.6,49,47460,4
USTennessee,26.3,31,42457,61
USTexas,22.1,23,53707,40
USUtah,21.5,18,43798,36
USVermont,35.6,19,43553,26
USVirginia,26.6,22,51480,66
USWashington,26.5,17,55403,41
USWestVirginia,25.4,38,36486,29
USWisconsin,26.6,22,47414,41
USWyoming,18.9,33,60231,2
Venezuela,19.4,9,17664,35.26
VirginIslands,16.4,30,40124,295.92
