,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-Barbuda,3994,3551,3892,3661,3971,3958,4296,4508,3383,3769,4004,4191,4289,4085,4531,4428,4414,4376,4215,4499,2167,,,
Argentina,42478,33199,34194,33685,35721,31635,37424,33335,36704,38466,37392,43056,47505,39039,39156,38492,36731,35565,42845,37926,32079,,,
Aruba,16435,12755,13159,13315,13449,12418,16182,16136,13853,14250,14000,15907,16851,14679,16052,17422,16957,16306,20368,19226,13488,,,
Bahamas,46817,44171,58075,52104,54670,58042,76586,77505,42236,39081,55355,61190,52539,48199,63728,70486,62558,68319,85229,83034,32361,,,
Barbados,8989,7760,8890,8751,12193,12424,13554,13917,10313,10561,11010,13351,12283,11365,12313,13168,12699,11613,11918,13371,7423,,,
Belize,6819,5877,7220,6019,5095,6348,7303,6236,4062,3385,3866,4067,5311,4840,6257,6780,5326,7958,10059,9435,5205,,,
Bermuda,2653,2842,3258,2825,2913,3002,3666,3535,2337,2561,3338,3528,2277,2687,3286,3204,2875,3180,3720,3578,1641,,,
Bolivia,4809,3752,4788,4241,4060,4261,4280,4549,4716,4390,4492,4262,5020,3817,4419,4521,4179,4525,4346,4686,3131,,,
"Bonaire, Saint Eustatius and Saba",,,,,,,,,,,,,,,,,,,,,,,,
Brazil,165461,94793,87640,94219,94259,85812,96632,98442,82295,81934,78559,111282,119762,79384,80199,85672,83582,92181,115808,110459,88508,,,
Canada,215449,251019,278067,194542,102963,84326,124669,117276,77450,104342,148596,220014,213305,246722,288379,215535,98783,86643,129764,125529,66628,,,
Cayman Islands,13672,11833,13519,13130,13735,12201,17370,17136,11202,13631,15359,14400,12931,12798,13052,15452,14341,16129,20427,20697,11078,,,
Chile,28041,23189,22918,20644,19357,18916,23915,20896,19681,18718,17966,25058,29856,24366,20492,20742,21122,19942,22720,21817,17272,,,
Colombia,103822,75723,87923,76669,82145,95320,101934,103983,84198,79294,79751,95616,92937,69640,83048,89429,84013,95366,101661,104870,76117,,,
Costa Rica,46448,33382,38518,36283,30401,32362,38666,37200,26130,24701,31192,40317,40100,29706,36017,35501,32761,32208,33387,34654,21941,,,
Cuba,46407,30089,40018,37044,36478,32196,42091,41640,35844,48405,57709,76876,113700,74595,88387,92928,87956,81139,103926,104881,58423,58423,58423,58423
Curacao,9717,8981,10929,9385,8114,8379,13428,10990,7797,8776,8034,9977,6982,6353,7747,6682,6183,6202,7519,6511,4397,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep,63232,47576,56316,56033,55088,71691,86426,79905,52019,45979,44335,48255,55161,45475,56437,57543,61610,67010,82366,77084,38602,,,
Ecuador,23471,22834,30565,26665,25107,24797,32344,32927,29926,29703,26721,23037,28002,21171,26773,25787,23179,22557,27402,29032,19637,,,
El Salvador,11920,7971,9977,8575,8878,7257,11082,11549,8918,8727,8928,9919,11565,8160,9217,8564,7908,9889,13304,12477,7159,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,3261,3136,3197,2934,3296,3206,3543,4079,2192,2770,2379,3535,3233,2410,3105,2937,3170,3124,3358,3367,1897,,,
Guadeloupe,945,876,1008,870,822,976,2363,1905,431,941,938,1767,1452,2006,1723,2646,1061,1151,2543,1977,441,,,
Guatemala,17428,11619,15379,14334,14377,15628,15947,16711,13562,14122,17209,18076,16355,11658,14273,16868,13255,16564,17910,19276,11914,,,
Guyana,1859,1458,2015,1899,2263,2899,3985,3510,2990,2415,2512,2814,2659,2095,2401,2747,2348,2572,3795,3630,2240,,,
Haiti,33119,27096,35711,33973,33354,37501,46653,50321,32756,29764,31414,33999,39416,29391,38144,36757,34208,37694,47445,47712,25554,,,
Honduras,18839,12850,17640,16064,17600,19449,21124,18591,14887,13905,14417,19729,19336,12984,15831,19020,15741,19555,22015,20824,13006,,,
Jamaica,50976,37849,49693,47222,54960,57011,71946,66746,43122,44002,49196,49429,53738,40873,46465,57130,58510,62895,81019,77251,37786,,,
Martinique,813,561,737,575,402,831,2019,1487,278,821,532,1033,739,695,524,777,735,670,2346,1800,424,,,
Mexico,102675,83458,105959,87902,96015,98462,130963,112352,88137,88233,91897,111293,111717,82949,100032,98884,88470,96048,124770,113817,69574,,,
Nicaragua,22365,15809,18401,16298,15923,17687,20258,20659,15119,13829,16897,19314,22822,15400,17345,18762,15757,18258,22550,21109,12145,,,
Panama,59111,49619,48610,44316,43772,49284,55951,54342,47900,46647,46623,56173,59268,47044,49001,50199,45324,55681,63646,64695,46197,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,
Peru,40432,36256,37684,36898,40607,39122,44399,45487,40567,38634,37103,38415,42666,36443,36052,36582,39602,36983,43633,43248,30954,,,
Puerto Rico,134261,105967,129666,118977,143674,161344,178160,137928,109109,112680,131434,149607,140401,110689,137796,135987,147792,171439,191073,154310,63713,,,
St Barthelemy,,,,,,,,,,,,,,,,,,,,,,,,
St Kitts-Nevis,5640,4334,5512,5746,3932,3921,5342,5581,2776,3250,3377,5177,5416,4032,4604,5498,4458,4011,5499,6043,1948,,,
St Lucia,4293,3449,4335,4374,4560,4261,5042,4510,3785,4350,4632,4083,4372,3537,4230,4603,4726,4001,4725,4057,3895,,,
St Maarten (Dutch Part),8299,7101,8375,7163,7067,6418,8404,7706,5269,5810,7096,7121,7127,6919,8593,8851,7887,7979,10120,8898,1374,,,
St Vincent-Grenad,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,0,0,0,0,0,0,0,0,0,0,391,396,408,326,44,292,68,0,0,0,241,,,
Trinidad-Tobago,17682,20663,20860,18494,20374,19358,23792,24405,17024,16675,18938,21833,17301,14660,20799,20474,19503,19723,22287,22529,13107,,,
Turks-Caicos,8469,7654,7847,7352,8278,11432,12494,11954,8061,7432,7773,9504,9203,7614,9036,9705,10610,12019,14076,14716,4105,,,
Uruguay,5831,4606,5127,4692,4963,5054,5127,4342,4779,4428,3779,4670,5932,4425,4714,5522,4874,4848,5390,4734,3864,,,
Venezuela,26756,23902,33499,30911,34516,35852,43791,42839,30068,33107,36989,32411,37685,22041,27347,28411,27994,28450,33360,40179,20541,,,
Virgin Islands (GB),,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (US),25498,23811,28168,25236,27982,29808,33128,30395,19636,21386,25927,25255,24546,22399,28431,25555,25819,25817,28596,25989,5274,,,
